comment_id,post_id,user_id,comment_content,comment_timestamp
1,111,1,znhhkagrjr,2023-11-22 13:18:02
2,162,1,rnorqaabom,2024-09-25 15:42:26
3,145,4,jstligmtaj,2024-08-27 21:35:26
4,70,10,xyhdzhkjmd,2023-06-18 15:44:43
5,150,5,lrixzdnzuo,2023-02-22 04:42:32
6,64,9,txbluzkztm,2024-05-29 02:34:39
7,14,2,ozwfzqnbcu,2023-05-04 23:55:45
8,122,4,wroaikzkaw,2024-09-02 00:17:17
9,106,1,jnsehzxlyv,2023-04-28 19:11:40
10,95,7,odiqnpokpl,2023-08-28 08:44:06
11,182,1,dlnfiwrxwt,2024-08-23 01:16:05
12,179,9,ahwnmbobvu,2023-08-08 07:36:19
13,68,10,azltxnbtoq,2024-01-05 14:51:44
14,87,1,gwyabuwcis,2023-11-08 02:32:04
15,77,8,bbqihhvzkj,2023-06-28 12:24:57
16,108,10,wnujhedkyl,2023-01-18 19:01:39
17,58,2,ntewqidxsf,2024-04-26 02:18:09
18,182,10,jyqmonaqhh,2023-02-21 01:09:21
19,121,7,gcgwlcbixf,2023-02-06 19:36:24
20,23,1,dpzwujlomn,2024-04-08 17:04:55
21,189,9,pkicfamvck,2023-10-25 19:44:05
22,69,3,iohsugnmjx,2024-06-17 23:40:56
23,156,7,dbcozhetyf,2024-03-26 09:09:44
24,70,2,terhdrkjjx,2023-06-19 06:09:45
25,98,9,hdrodrinjy,2024-05-06 12:36:50
26,7,10,pkwgnbvqkc,2024-05-03 09:21:23
27,86,9,zntzgmawni,2024-10-30 02:34:15
28,173,7,fywqcogvsf,2023-10-26 14:47:44
29,114,10,afbxmojamy,2024-09-12 19:36:13
30,17,7,achoqlqvca,2023-02-16 14:32:05
31,3,4,dwwpaalnih,2023-06-24 04:02:32
32,146,6,qzqjzfrlxs,2024-05-03 21:59:32
33,189,1,beckmfvkce,2024-03-10 01:09:02
34,200,1,xefiunranh,2023-03-26 00:00:14
35,119,3,vmcemnyagy,2023-09-30 01:43:28
36,65,10,rvxcqgrsun,2024-07-23 00:59:16
37,86,1,rwlpbvfinp,2023-04-28 10:27:47
38,33,1,qnzmurfmxo,2024-05-03 13:28:18
39,171,7,rmzvudepyt,2024-06-24 22:53:57
40,173,1,wxbaiyqtgh,2023-06-22 12:09:22
41,52,8,gatfpuxrwb,2023-01-31 01:52:57
42,13,1,fpejsowgen,2023-04-15 07:26:30
43,19,5,hpawbvqglh,2023-10-02 17:25:22
44,185,7,nichmguhcg,2023-03-19 12:46:10
45,180,6,fiyksawuif,2023-09-15 04:13:19
46,21,8,radnbauuks,2023-01-19 15:39:07
47,191,10,fftdxlinwg,2023-04-30 03:20:09
48,177,8,mtjyneunyg,2023-10-02 03:15:45
49,12,9,cbghmhtlfj,2024-05-14 17:00:10
50,16,6,ueyjpxtyxz,2023-01-20 05:21:39
51,146,9,edrolxjcun,2024-03-03 05:04:51
52,38,2,ltgnywtwhe,2023-12-14 03:12:37
53,140,4,elliifhord,2023-12-05 05:44:24
54,32,7,rlrtayrris,2023-05-23 00:55:07
55,153,4,wybzziatka,2024-07-16 03:50:04
56,71,8,tvmjigbsnl,2024-09-14 22:56:40
57,45,6,xsvbbjxpzs,2024-01-10 21:55:10
58,9,4,mdfugtqrhx,2024-03-23 02:40:08
59,63,8,qndwdxwsmi,2023-05-29 20:14:29
60,53,3,fqojzpigdw,2023-04-12 03:11:27
61,66,4,mmgjuhgmbm,2023-06-24 01:54:54
62,11,1,wtbdathcye,2023-11-26 12:05:26
63,111,10,kesnraxrpx,2024-06-04 14:13:17
64,99,10,dqlnxcgrwk,2023-03-27 18:07:28
65,119,2,ovfbqkseit,2023-10-10 10:53:05
66,118,4,zviowptfsw,2024-08-24 13:52:35
67,139,9,zjbekjwppd,2023-03-27 07:43:40
68,3,4,wcjvrvtpxg,2024-09-17 22:37:49
69,2,3,lntkqvevol,2024-02-05 12:57:46
70,39,1,dcegtazsgn,2024-08-05 18:27:23
71,82,3,lasurycvod,2023-02-08 08:56:21
72,22,9,xzhbvzgcen,2024-04-12 00:09:47
73,138,7,dmhgcotuyf,2023-02-14 04:33:23
74,24,4,opadqhuebu,2024-01-21 12:11:28
75,85,1,pltbdfrzlx,2023-01-22 15:34:49
76,135,1,dwburpyucq,2023-10-25 00:41:53
77,158,10,djpktdpihl,2023-04-25 11:51:58
78,129,5,gqizleennm,2023-12-23 08:12:37
