interaction_id,post_id,user_id,type,interaction_timestamp
1,48,6,like,2023-01-12 15:21:43
2,121,5,like,2024-02-14 15:59:30
3,16,5,saved,2023-01-02 20:37:47
4,127,5,like,2023-01-30 19:05:45
5,22,2,share,2023-10-13 03:46:32
6,189,8,like,2023-12-25 07:07:01
7,29,1,share,2024-05-05 02:58:06
8,36,1,saved,2023-02-25 20:22:14
9,19,1,share,2024-05-18 07:19:24
10,31,6,share,2023-08-15 23:30:10
11,69,10,saved,2024-05-30 23:22:52
12,154,6,share,2024-02-16 13:48:28
13,176,9,share,2023-02-01 07:17:27
14,118,9,share,2024-10-08 12:09:25
15,6,10,share,2023-12-08 02:03:48
16,86,6,saved,2023-02-11 00:21:17
17,26,10,share,2024-06-09 06:16:05
18,116,5,share,2024-01-21 17:17:03
19,117,3,like,2023-01-12 10:46:00
20,134,3,share,2024-01-02 15:22:05
21,152,9,saved,2023-09-30 01:48:14
22,133,7,like,2024-01-18 03:50:09
23,199,6,saved,2024-04-29 02:34:29
24,95,9,saved,2023-09-11 00:48:54
25,28,7,saved,2023-08-09 12:33:45
26,5,2,saved,2024-01-21 02:00:30
27,36,3,saved,2023-10-31 07:43:07
28,31,9,like,2023-04-22 03:07:39
29,1,6,saved,2023-06-07 14:26:15
30,88,1,saved,2023-11-01 23:35:10
31,46,5,share,2024-10-04 11:41:31
32,154,9,share,2023-02-01 12:22:17
33,113,2,like,2023-07-26 08:58:19
34,124,5,like,2024-09-06 16:24:05
35,44,8,share,2023-12-14 05:35:55
36,161,9,saved,2024-03-09 17:40:27
37,44,5,saved,2024-08-11 19:14:19
38,24,6,saved,2023-10-26 11:17:58
39,16,2,share,2023-01-27 18:16:01
40,34,9,saved,2024-05-05 22:03:14
41,55,10,share,2023-11-30 23:31:17
42,3,9,saved,2024-06-02 08:05:37
43,163,6,share,2023-07-26 16:16:43
44,25,3,saved,2023-07-15 17:09:45
45,192,2,saved,2023-09-14 04:50:40
46,28,7,like,2023-08-20 18:26:11
47,32,9,like,2023-01-19 23:36:29
48,179,7,share,2023-01-09 19:56:24
49,58,8,share,2024-01-18 01:15:21
50,166,5,like,2023-05-02 05:23:07
51,41,4,saved,2023-02-10 05:28:10
52,116,2,saved,2024-08-19 05:25:46
53,90,2,share,2023-11-13 09:12:14
54,142,1,like,2024-06-20 18:28:20
55,137,1,saved,2024-06-23 05:40:21
56,84,6,share,2023-09-19 05:08:45
57,128,4,share,2023-10-20 06:17:15
58,21,4,like,2024-05-05 02:58:53
59,84,10,saved,2024-05-06 18:50:10
60,72,8,share,2024-01-05 00:54:01
61,161,2,saved,2024-08-20 22:21:11
62,136,6,saved,2023-07-30 11:18:15
63,54,3,saved,2024-03-19 05:17:24
64,163,3,saved,2024-10-22 19:23:32
65,105,7,share,2023-02-04 23:21:14
66,103,7,like,2023-06-29 13:13:21
67,103,9,share,2023-01-09 04:16:15
68,171,10,like,2024-10-28 18:11:19
69,15,2,like,2024-04-23 07:56:32
70,102,5,like,2023-10-25 03:55:53
71,113,8,like,2023-05-28 18:46:14
72,86,9,saved,2024-01-19 00:32:25
73,76,10,saved,2023-05-04 11:20:50
74,45,1,share,2023-11-29 07:15:33
75,101,7,like,2024-01-29 08:28:15
76,71,1,like,2024-09-07 08:11:38
77,160,7,share,2024-08-23 15:42:21
78,142,6,share,2024-04-14 08:39:07
79,28,10,like,2023-12-01 00:23:34
80,106,8,like,2024-04-01 22:10:28
81,93,9,saved,2024-09-16 22:03:12
82,175,7,like,2024-01-04 20:51:23
83,114,4,saved,2024-06-24 04:37:33
84,161,3,like,2023-06-21 19:22:56
85,112,5,like,2023-03-09 10:50:07
86,144,6,like,2023-05-05 19:07:53
87,200,9,like,2023-01-05 06:11:07
88,137,4,like,2023-03-16 22:22:19
89,93,10,like,2023-05-30 21:30:27
90,127,1,like,2023-04-28 18:38:06
91,5,6,like,2023-11-29 06:55:21
92,83,8,saved,2023-08-30 11:38:13
93,7,7,saved,2023-11-25 20:53:05
94,14,7,saved,2023-06-12 14:18:45
95,64,3,like,2023-10-22 12:36:40
96,55,7,like,2024-05-03 23:23:00
97,85,2,share,2023-01-05 02:02:53
98,162,2,saved,2023-06-04 01:20:32
99,65,6,like,2023-09-06 19:36:43
100,38,8,saved,2024-04-24 00:13:36
101,159,1,share,2023-04-30 15:09:03
102,57,7,like,2023-03-14 21:03:03
103,128,6,share,2024-03-06 16:52:45
104,12,5,like,2024-02-18 23:44:31
105,6,7,saved,2024-10-10 07:41:33
106,63,7,share,2023-07-03 03:26:09
107,153,8,saved,2023-02-22 22:39:36
108,114,4,saved,2024-03-22 04:02:55
109,75,3,saved,2024-08-10 04:51:02
110,107,6,saved,2023-12-30 14:37:41
111,10,6,saved,2023-06-06 18:48:31
112,88,10,saved,2023-04-11 02:54:08
113,125,7,like,2023-03-15 12:44:45
114,74,1,like,2024-06-14 19:29:54
